#TEXT/SIMPLE
# elo ehi spectrum
5.0000000000000e-01 5.0999999998886e-01 2.2977366071080e-05
5.0999999998886e-01 5.1999999997772e-01 2.2390000583336e-05
5.1999999997772e-01 5.2999999996658e-01 2.1828519596863e-05
5.2999999996658e-01 5.3999999995544e-01 2.1291321229772e-05
5.3999999995544e-01 5.4999999994429e-01 2.0776930231125e-05
5.4999999994429e-01 5.5999999993315e-01 2.0283985874930e-05
5.5999999993315e-01 5.6999999992201e-01 1.9811231204760e-05
5.6999999992201e-01 5.7999999991087e-01 1.9357503457482e-05
5.7999999991087e-01 5.8999999989973e-01 1.8921725518948e-05
5.8999999989973e-01 5.9999999988859e-01 1.8502898285005e-05
5.9999999988859e-01 6.0999999987745e-01 1.8100093818524e-05
6.0999999987745e-01 6.1999999986631e-01 1.7712449207976e-05
6.1999999986631e-01 6.2999999985517e-01 1.7339161045544e-05
6.2999999985517e-01 6.3999999984403e-01 1.6979480453543e-05
6.3999999984403e-01 6.4999999983288e-01 1.6632708597052e-05
6.4999999983288e-01 6.5999999982174e-01 1.6298192628548e-05
6.5999999982174e-01 6.6999999981060e-01 1.5975322017102e-05
6.6999999981060e-01 6.7999999979946e-01 1.5663525220503e-05
6.7999999979946e-01 6.8999999978832e-01 1.5362266663772e-05
6.8999999978832e-01 6.9999999977718e-01 1.5071043991842e-05
6.9999999977718e-01 7.0999999976604e-01 1.4789385568008e-05
7.0999999976604e-01 7.1999999975490e-01 1.4516848193036e-05
7.1999999975490e-01 7.2999999974376e-01 1.4253015022691e-05
7.2999999974376e-01 7.3999999973261e-01 1.3997493663982e-05
7.3999999973261e-01 7.4999999972147e-01 1.3749914432568e-05
7.4999999972147e-01 7.5999999971033e-01 1.3509928755757e-05
7.5999999971033e-01 7.6999999969919e-01 1.3277207707194e-05
7.6999999969919e-01 7.7999999968805e-01 1.3051440660794e-05
7.7999999968805e-01 7.8999999967691e-01 1.2832334052861e-05
7.8999999967691e-01 7.9999999966577e-01 1.2619610242415e-05
7.9999999966577e-01 8.0999999965463e-01 1.2413006460847e-05
8.0999999965463e-01 8.1999999964349e-01 1.2212273842859e-05
8.1999999964349e-01 8.2999999963235e-01 1.2017176531521e-05
8.2999999963235e-01 8.3999999962120e-01 1.1827490850932e-05
8.3999999962120e-01 8.4999999961006e-01 1.1643004540662e-05
8.4999999961006e-01 8.5999999959892e-01 1.1463516046677e-05
8.5999999959892e-01 8.6999999958778e-01 1.1288833863994e-05
8.6999999958778e-01 8.7999999957664e-01 1.1118775926719e-05
8.7999999957664e-01 8.8999999956550e-01 1.0953169041581e-05
8.8999999956550e-01 8.9999999955436e-01 1.0791848361406e-05
8.9999999955436e-01 9.0999999954322e-01 1.0634656895284e-05
9.0999999954322e-01 9.1999999953208e-01 1.0481445052530e-05
9.1999999953208e-01 9.2999999952093e-01 1.0332070217746e-05
9.2999999952093e-01 9.3999999950979e-01 1.0186396354562e-05
